id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
Skrub#4925,Diamond 2,45.2,0.92,142.5,US,21.9,285,73.6,960,4.5,59,426,15.7,211,"6,783",0.8,Raze,204,353,50.7,1.01,157.8
Raékwon#1400,Diamond 1,70,1.2,157.7,TR,27,273,66.1,669,6.9,70,412,18.5,221,"6,187",0.7,Reyna,52,92,46.7,1.04,157.4
NightmareFuel#koka,Platinum 3,49.2,0.96,134.6,HU,26.1,284,66.8,726,7.1,77,"1,501",18.6,725,"21,501",0.7,Sage,311,531,52.4,0.94,130.3
Hodg#1415,Immortal 3,58.2,1.09,153.2,GB,25,254,68.2,694,6.8,69,331,21.8,176,"5,675",0.8,Chamber,54,93,46.2,1.12,156.5
SLZ TOXiN#69XXX,Gold 1,40,0.74,112.1,BD,22.7,228,69.4,697,8,80,916,19.2,416,"13,912",0.7,Omen,166,295,45.8,0.97,130.6
ReverseWK#7299,Diamond 1,58,1.35,162.8,DO,27.1,237,69.6,610,3.3,29,157,16.1,77,"2,671",0.8,Chamber,32,55,54.5,1.3,159.4
Señοrita#Toxic,Diamond 3,45.8,0.91,123.7,GR,22.5,218,71.1,690,6.5,63,"3,765",25.2,"1,824","52,615",0.7,Viper,555,954,50.7,1.01,130.9
PizzA stEvE#sexy,Diamond 3,50.7,1.03,129.8,DZ,25.4,259,68,693,6.6,67,750,21.9,380,"11,268",0.7,Chamber,75,129,42.6,0.98,133
yuk1koちゃん#ITZY,Platinum 2,50,1.01,148.2,PL,17.2,198,76.8,885,6,69,494,13.8,244,"8,156",0.8,Jett,119,210,49.5,1.07,151.1
FLseleur#4444,Silver 2,40.5,0.98,126.2,CA,19.1,175,75.3,688,5.6,51,221,14.5,109,"2,948",0.7,Neon,47,85,54.1,0.96,135.8
Naohh#4872,Immortal 1,49.7,1.07,146.5,KR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIFE ChefAxolotl#LIFE,Silver 3,50.9,1.21,168,AT,30.7,326,64.3,682,5,53,174,27.8,90,"2,957",0.8,Raze,49,88,47.7,1.23,178.1
Sh3L6Z#4002,Gold 3,43.5,0.85,117.6,CA,17.8,161,73.5,664,8.6,78,389,11.1,196,"5,285",0.7,Skye,160,288,51.4,1,136.8
she left me#tears,Gold 3,71.4,1.59,179.1,US,25.7,326,70.7,896,3.6,46,43,24.5,21,856,1,Chamber,19,32,56.2,1.46,178.4
yeahtheylikeme#hook,Diamond 1,50,1.45,205,US,30.3,370,64.9,793,4.8,59,508,16.4,252,"7,633",0.7,Sage,86,156,55.1,0.96,120.5
Deeexity#2695,Ascendant 1,51.2,1.4,160.2,GB,28.8,282,66.7,652,4.5,44,286,21.9,148,"5,625",0.9,Chamber,75,131,51.9,1.58,163.4
LIFEHunter#33333,Silver 2,56.2,1.02,131.4,HU,8.9,108,74.9,905,16.2,196,77,11.1,38,984,0.7,Phoenix,12,22,68.2,1.09,140.9
papleer#peter,Silver 1,81.8,1.55,173.6,DE,9.2,160,74.5,1297,16.3,283,129,7.7,64,"1,959",0.8,Reyna,31,54,50,1.14,160.6
XenoLink#3157,Silver 3,55.6,1.21,159,US,12.1,127,72.2,760,15.7,165,67,11.8,32,"1,091",0.8,Chamber,26,46,54.3,1.22,156.6
His mommy#Mahal,Bronze 3,64,0.92,121.4,PH,10.9,140,77.4,996,11.7,151,381,11.8,189,"4,791",0.6,Sage,108,191,48.2,0.77,104.4
WorstPlayerinVal#Trash,Gold 2,38.1,0.88,132.2,AU,21.1,211,73.3,733,5.6,56,325,17.7,166,"4,587",0.7,Chamber,39,73,58.9,0.99,139.4
God Ussop ツ#yonko,Gold 1,46.1,1.06,137.3,ES,15.7,162,76,785,8.3,86,152,11.8,78,"2,430",0.8,Viper,41,71,50.7,1.16,146.2
Azhuro#exe,Ascendant 3,56.2,1.19,157.1,ES,32.6,300,63.7,585,3.7,34,"1,010",25.4,500,"14,953",0.7,Cypher,123,200,49,0.99,122.8
blonski#cassi,Ascendant 1,51.1,1.34,156.7,BR,24,305,70.7,900,5.3,68,921,17.1,447,"15,296",0.8,Chamber,130,219,53.4,1.38,159
squeaky#069,Immortal 2,67.7,1.06,139.3,NL,25.4,234,64.8,598,9.9,91,616,23.2,331,"10,396",0.8,Reyna,147,256,57.4,1.22,167.2
night night#2121,Ascendant 2,61,1.11,145,SG,20,234,74.6,874,5.4,63,927,20.3,464,"14,846",0.8,Reyna,121,214,51.9,1.12,156.2
hazeツ#GOD,Silver 1,53.3,1.39,152.1,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mKnZ#0000,Immortal 3,76.9,1.45,179.9,IT,33.7,320,62.4,592,3.9,37,849,28.9,443,"15,782",0.9,Jett,172,291,55.3,1.41,177.6
ipolito97#8900,Diamond 3,53.8,1.03,144.3,ES,34.1,293,62.2,534,3.6,31,219,28.2,114,"3,548",0.8,Jett,43,73,60.3,1.18,166.1
Ipol97#EUW,Platinum 3,52,1.06,146.1,ES,33.1,289,63.4,554,3.5,31,400,22.9,193,"5,939",0.7,Jett,43,75,50.7,1.12,154.3
Oblivion#Thorn,Silver 3,48.7,0.99,134.3,ID,11.7,152,72.3,943,16,209,342,11.1,169,"4,200",0.6,Cypher,95,164,53,0.8,109.7
quoiS#LOVEU,Silver 2,59.1,1.14,150.8,UA,19.5,240,73.8,909,6.7,82,415,13.2,184,"5,318",0.6,Sage,100,174,42.5,0.74,117.8
SuddenlySterf#MILF,Gold 1,53.5,0.83,115.7,US,12.3,142,80.7,932,7,81,418,10.4,213,"5,308",0.6,Killjoy,111,186,53.8,1.02,129.8
nuke#love,Silver 1,50,1.06,135,US,15.9,186,73.5,858,10.5,123,51,14.4,22,750,0.7,Reyna,8.1,14,28.6,0.95,149.9
Rayness#bees,Platinum 1,48.8,0.9,128.4,PT,12.6,147,77.2,901,10.2,119,760,10.3,385,"11,881",0.8,Reyna,149,267,50.9,1.18,162.4
Blackyy#Trxsh,Platinum 2,62.9,1.02,146.2,FR,10.8,158,76.9,1126,12.4,181,231,12.8,116,"3,568",0.7,KAY/O,74,126,53.2,1.06,150.9
ying 陰#2407,Radiant,55.8,1.24,160,AT,31.1,260,64.8,541,4.1,34,544,26.6,314,"10,050",0.9,Chamber,55,101,60.4,1.38,168.8
Kamiyadah#EUNE,Diamond 1,50,1.35,181.1,HU,24.3,321,70.7,936,5,66,303,23.4,156,"5,946",0.9,Chamber,49,86,55.8,1.46,187.7
JCrick#CRC,Platinum 2,38.7,1.13,151,US,19.7,227,74.7,862,5.6,65,933,16.2,453,"14,497",0.7,Sage,254,447,49,0.94,123.6
ClarkKent#KRPTN,Silver 3,42.6,1.21,163.8,US,16.7,198,75.6,898,7.7,92,687,17,323,"11,064",0.8,Sage,137,238,47.5,1.04,142.1
ˇ lushi#iron2,Platinum 1,48.2,1.26,183.1,GB,17.4,238,75.5,1035,7.1,98,415,18.5,201,"8,399",1,Reyna,180,327,48.3,1.35,193
